Model,Scenario,Year,population,Country,gdp
OECD Env-Growth,SSP1_v9_130325,2010,0.101597,Aruba,2467.70391061453
OECD Env-Growth,SSP1_v9_130325,2015,0.112041551401869,Aruba,3350.1940508343
OECD Env-Growth,SSP1_v9_130325,2020,0.117738579439252,Aruba,4347.08106108255
OECD Env-Growth,SSP1_v9_130325,2025,0.123435607476636,Aruba,5834.2403714529
OECD Env-Growth,SSP1_v9_130325,2030,0.128183130841122,Aruba,8040.46572200231
OECD Env-Growth,SSP1_v9_130325,2035,0.132930654205607,Aruba,11096.4963927634
OECD Env-Growth,SSP1_v9_130325,2040,0.135779168224299,Aruba,15133.0716637686
OECD Env-Growth,SSP1_v9_130325,2045,0.138627682242991,Aruba,20215.5611750343
OECD Env-Growth,SSP1_v9_130325,2050,0.140526691588785,Aruba,26425.6769765808
OECD Env-Growth,SSP1_v9_130325,2055,0.141476196261682,Aruba,33779.7614784121
OECD Env-Growth,SSP1_v9_130325,2060,0.141476196261682,Aruba,42261.4722705243
OECD Env-Growth,SSP1_v9_130325,2065,0.140526691588785,Aruba,51723.7276628807
OECD Env-Growth,SSP1_v9_130325,2070,0.138627682242991,Aruba,62052.1307854528
OECD Env-Growth,SSP1_v9_130325,2075,0.135779168224299,Aruba,73050.5727181917
OECD Env-Growth,SSP1_v9_130325,2080,0.132930654205607,Aruba,84506.6021310446
OECD Env-Growth,SSP1_v9_130325,2085,0.128183130841122,Aruba,95472.3592437754
OECD Env-Growth,SSP1_v9_130325,2090,0.122486102803738,Aruba,105719.050316327
OECD Env-Growth,SSP1_v9_130325,2095,0.115839570093458,Aruba,114952.511968627
OECD Env-Growth,SSP1_v9_130325,2100,0.10824353271028,Aruba,122649.787080543
OECD Env-Growth,SSP2_v9_130325,2010,0.101597,Aruba,2467.70391061453
OECD Env-Growth,SSP2_v9_130325,2015,0.112041551401869,Aruba,3350.1940508343
OECD Env-Growth,SSP2_v9_130325,2020,0.11868808411215,Aruba,4314.39624107441
OECD Env-Growth,SSP2_v9_130325,2025,0.12533461682243,Aruba,5589.10422139185
OECD Env-Growth,SSP2_v9_130325,2030,0.131031644859813,Aruba,7223.34522179882
OECD Env-Growth,SSP2_v9_130325,2035,0.135779168224299,Aruba,9184.43442228719
OECD Env-Growth,SSP2_v9_130325,2040,0.140526691588785,Aruba,11684.8231529099
OECD Env-Growth,SSP2_v9_130325,2045,0.144324710280374,Aruba,14789.8810536831
OECD Env-Growth,SSP2_v9_130325,2050,0.148122728971963,Aruba,18614.0049946354
OECD Env-Growth,SSP2_v9_130325,2055,0.150971242990654,Aruba,23238.9070257872
OECD Env-Growth,SSP2_v9_130325,2060,0.153819757009346,Aruba,28795.3264271709
OECD Env-Growth,SSP2_v9_130325,2065,0.15571876635514,Aruba,35315.9480187947
OECD Env-Growth,SSP2_v9_130325,2070,0.156668271028037,Aruba,42833.4566206668
OECD Env-Growth,SSP2_v9_130325,2075,0.156668271028037,Aruba,51282.4825927708
OECD Env-Growth,SSP2_v9_130325,2080,0.15571876635514,Aruba,60646.6835251028
OECD Env-Growth,SSP2_v9_130325,2085,0.152870252336449,Aruba,70501.1567575568
OECD Env-Growth,SSP2_v9_130325,2090,0.150971242990654,Aruba,80911.2719301493
OECD Env-Growth,SSP2_v9_130325,2095,0.147173224299065,Aruba,91762.6321728516
OECD Env-Growth,SSP2_v9_130325,2100,0.143375205607477,Aruba,102973.525435643
OECD Env-Growth,SSP3_v9_130325,2010,0.101597,Aruba,2467.70391061453
OECD Env-Growth,SSP3_v9_130325,2015,0.111092046728972,Aruba,3301.16682082209
OECD Env-Growth,SSP3_v9_130325,2020,0.116789074766355,Aruba,4150.97214103371
OECD Env-Growth,SSP3_v9_130325,2025,0.121536598130841,Aruba,5164.20156128604
OECD Env-Growth,SSP3_v9_130325,2030,0.12533461682243,Aruba,6308.17026157092
OECD Env-Growth,SSP3_v9_130325,2035,0.129132635514019,Aruba,7484.82378186394
OECD Env-Growth,SSP3_v9_130325,2040,0.131031644859813,Aruba,8841.24381220173
OECD Env-Growth,SSP3_v9_130325,2045,0.133880158878505,Aruba,10410.1151725924
OECD Env-Growth,SSP3_v9_130325,2050,0.136728672897196,Aruba,12191.437863036
OECD Env-Growth,SSP3_v9_130325,2055,0.139577186915888,Aruba,14234.2391135447
OECD Env-Growth,SSP3_v9_130325,2060,0.142425700934579,Aruba,16603.8885641349
OECD Env-Growth,SSP3_v9_130325,2065,0.146223719626168,Aruba,19349.4134448186
OECD Env-Growth,SSP3_v9_130325,2070,0.14907223364486,Aruba,22454.4713455918
OECD Env-Growth,SSP3_v9_130325,2075,0.151920747663551,Aruba,25935.4046764587
OECD Env-Growth,SSP3_v9_130325,2080,0.154769261682243,Aruba,29808.5558474232
OECD Env-Growth,SSP3_v9_130325,2085,0.156668271028037,Aruba,33959.5279884569
OECD Env-Growth,SSP3_v9_130325,2090,0.159516785046729,Aruba,38502.7179695883
OECD Env-Growth,SSP3_v9_130325,2095,0.161415794392523,Aruba,43487.1530208296
OECD Env-Growth,SSP3_v9_130325,2100,0.163314803738318,Aruba,48863.8059121685
OECD Env-Growth,SSP4_v9_130325,2010,0.101597,Aruba,2467.70391061453
OECD Env-Growth,SSP4_v9_130325,2015,0.112041551401869,Aruba,3350.1940508343
OECD Env-Growth,SSP4_v9_130325,2020,0.117738579439252,Aruba,4347.08106108255
OECD Env-Growth,SSP4_v9_130325,2025,0.123435607476636,Aruba,5866.92519146104
OECD Env-Growth,SSP4_v9_130325,2030,0.128183130841122,Aruba,8089.49295201452
OECD Env-Growth,SSP4_v9_130325,2035,0.13198114953271,Aruba,11194.5508527878
OECD Env-Growth,SSP4_v9_130325,2040,0.134829663551402,Aruba,15329.1805838174
OECD Env-Growth,SSP4_v9_130325,2045,0.137678177570093,Aruba,20575.0941951238
OECD Env-Growth,SSP4_v9_130325,2050,0.139577186915888,Aruba,27079.3733767436
